id,负责人,是否完成（无法完成备注）,function,question,prepareCode,runCode
288,雨彤,,secondOfMinute,在股票高频交易场景中，系统记录了多笔交易的精确时间戳存储在TIMESTAMP类型的向量tradeTimes里。如何提取每个时间点所在分钟的秒数（忽略毫秒部分），将结果存入整型向量result？,"tradeTimes = [2023.03.15T09:30:15.456, 2023.03.15T09:31:30.123, 2023.03.15T09:32:45.789]",result = secondOfMinute(tradeTimes)
289,雨彤,,setTSDBCacheEngineSize,在实时分析高频传感器数据的物联网系统中，当前需要将时序数据库的缓存池容量调整为2.8GB以提升写入吞吐量。请编写代码完成动态扩容操作并检查配置生效情况，将最终生效的缓存容量数值存储在result变量中。输入数据格式为数值型变量memSize=2.8，输出结果为浮点型数值。,memSize = 2.8,"setTSDBCacheEngineSize(memSize)
result = getTSDBCacheEngineSize()"
290,雨彤,,short,某物联网平台接收到一组设备的状态代码，以符号形式存储在变量codes中，具体为`120.9`32767`32768`-32768。需要将这些状态转换为16位有符号整数类型存储，无法转换的异常值转为空。请输出结果为SHORT类型的向量并存入result变量。,codes = `120.9`32767`32768`-32768,result = short(codes)
291,雨彤,,signbit,"在物联网设备监测中，某传感器记录了当前状态为复数形式""-3.5+4.2i""，存储在变量sensorData中。如何检测该数据的实部是否为负数，要求将检测结果存入变量result（输入数据格式:标量复数，输出数据格式:布尔值）","sensorData = complex(-3.5, 4.2)",result = signbit(lowDouble(sensorData))
292,雨彤,,sqlDelete,"某物联网系统中有两张表:设备状态表device_status（包含设备编号device_id和状态status）和报警记录表alerts（包含设备编号device_id、报警时间alert_time和描述信息）。现需要清理报警数据，删除所有状态为'faulty'的设备对应的报警记录。已知device_status结构为[device_id:SYMBOL, status:SYMBOL]，alerts结构为[device_id:SYMBOL, alert_time:DATETIME, description:STRING]，请编写处理代码并将更新后的alerts表赋值给result。","device_status = table(`D001`D002`D003 as device_id, `normal`faulty`normal as status)
alerts = table(`D001`D002`D003`D002 as device_id, 2023.01.01T00:00:00 + 0 1 2 3 as alert_time, [""电压异常"",""温度过高"",""通讯中断"",""湿度超标""] as description)","sqlDelete(alerts, <status=`faulty>, <ej(alerts, device_status, `device_id)>).eval()
result = alerts"
293,雨彤,,stringFormat,"在物联网设备监控场景中，需要将网关编号、当前电压值和最近检测时间组合成状态报告。给定字典变量device包含三个键值对:gateway是字符串""D23_WEST""，voltage是浮点数12.384，check_time是2023.12.05T14:30:00.008的时间戳。要求输出字符串满足以下格式:网关编号左对齐占8字符宽度，电压保留两位小数右对齐占6字符宽度，时间戳精确到毫秒。最终结果存储在result变量中。","device = dict(`gateway`voltage`check_time, ""D23_WEST"", 12.384, 2023.12.05T14:30:00.008)","result = stringFormat(""网关:%%(gateway)-8W | 电压:%6.2fV | 检测:%%T"", device.voltage, device.check_time) % device"
294,雨彤,,temporalFormat,"在物联网设备监控场景中，现有两个精确到毫秒的设备上报时间戳（2023年5月15日09:45:23.456和14:30:15.789），需要将其转换为""年/月/日 时:分:秒.毫秒""格式的机器可读字符串。给定时间向量deviceTimes包含这两个TIMESTAMP类型数据，请生成对应的格式化字符串数组并存入result变量。","deviceTimes = [2023.05.15T09:45:23.456, 2023.05.15T14:30:15.789]","result = temporalFormat(deviceTimes, ""yyyy/MM/dd HH:mm:ss.SSS"")"
295,雨彤,,throw,"在物联网设备监控系统中，现有温度传感器采集到的数据序列为[98.5, 102.3, 97.8, 105.0]。请编写异常处理代码，当检测到温度超过100度时主动触发报警信息，并将生成的异常对象存储在变量result中。输入数据格式为名为temperatures的浮点型向量，输出结果为包含错误描述的字典对象。","temperatures = [98.5, 102.3, 97.8, 105.0]","try {
for (t in temperatures) {
if (t > 100) {
throw(""温度超过安全阈值"")
}; 
}
} catch(ex) {
result = ex
};"
296,雨彤,,toCharArray,某物联网设备将采集的传感器数据压缩后以二进制格式传输。已知数据块y是BLOB类型，开头包含4字节长度标识。现在需要将有效载荷（不含长度头）写入文件，并返回实际写入的字节数。给定y为压缩后的1~50整数序列，请写出处理代码。,"y = blob(compress(1..50).concat())
","f = file(""payload.bin"", ""w"")
result = f.write(y.toCharArray())
f.close()
"
297,雨彤,,triggerNodeReport,"在物联网边缘计算场景中，边缘节点恢复在线后出现元数据不同步的情况。已知节点别名为""edgeNode-05""，请编写代码强制该节点向控制中心上报最新的存储分块状态信息，要求输入为字符串类型的节点别名变量nodeAlias，输出结果为触发操作的状态信息并存储在变量result中。","nodeAlias = ""edgeNode-05""",result = triggerNodeReport(nodeAlias)
298,雨彤,,unsubscribeTable,"在系统维护期间，需要停止对实时物联网传感器数据表""sensorStream""的订阅任务""monitorTask""，并清除已持久化的最新处理进度。已知订阅时通过连接句柄conn（连接到10.0.0.5:9000）建立，且启用了进度持久化功能。请编写代码实现该需求，返回结果存入变量result。","conn = xdb(""10.0.0.5"", 9000)
sensorBuffer = streamTable(100:0, `ts`device`temp`humidity, [TIMESTAMP, SYMBOL, DOUBLE, DOUBLE])
subscribeTable(server=conn, tableName=""sensorStream"", actionName=""monitorTask"", handler=sensorBuffer, persistOffset=true)","result = unsubscribeTable(conn, ""sensorStream"", ""monitorTask"", removeOffset=true)"
299,雨彤,,cancelRebalanceTask,"在一个分布式数据库系统中，管理员需要批量取消三个已提交但尚未开始执行的存储优化任务。已知待处理的任务标识符分别为:""rebalance_2023_001""、""rebalance_2023_002""和""rebalance_2023_003""。请编写代码实现任务撤销操作，操作结果需存储在名为result的变量中。输入数据为字符串数组格式的pendingTasks，输出结果为操作执行状态。","pendingTasks = [""rebalance_2023_001"", ""rebalance_2023_002"", ""rebalance_2023_003""]",result = cancelRebalanceTask(pendingTasks)
300,雨彤,,cancelRecoveryTask,"在物联网平台的数据恢复过程中，系统管理员发现有3个等待状态的冗余数据重建任务需要中止，已知任务标识符分别为""node_rcvry_001""、""node_rcvry_002""和""node_rcvry_003""，其中前两个任务尚未开始执行。请编写代码终止这些待处理任务，并将操作结果存储在变量result中。输入数据为字符串向量形式，变量名为pendingTasks。","pendingTasks = [""node_rcvry_001"", ""node_rcvry_002"", ""node_rcvry_003""]",result = cancelRecoveryTask(pendingTasks[0..1])
301,雪莲,,checkBackup,"某证券系统使用组合分区的分布式数据库存储交易记录和客户持仓表，每日自动进行增量备份。现需验证2023年7月25日所有交易表分区的备份文件完整性，已知数据库路径为""dfs://tradeDB""，交易表名为""trade""，备份存储在""/backup/trade""，如何检测异常备份信息并将结果存入变量？","login(""admin"", ""123456"")
dbName = ""dfs://tradeDB""
backupDir = ""/backup/trade""

n=10000
symbol = rand([""AAPL"",""TSLA"",""MSFT""],n)
date = take(2023.07.25..2023.07.28, n)
price = rand(100.0..300.0, n)
qty = rand(10..1000, n)
trade = table(symbol, date, price, qty)

if(existsDatabase(dbName)) dropDatabase(dbName)
dateDB = database(, VALUE, 2023.07.25..2023.07.28)
symbolDB = database(, HASH,[SYMBOL, 3])
db = database(dbName, COMPO,[dateDB, symbolDB])
pt = db.createPartitionedTable(trade, `trade, `date`symbol).append!(trade)
client = table(rand([""C1001"",""C1002"",""C1003""],n) as cid, trade.symbol, trade.date, trade.qty)
db.createPartitionedTable(client, `client, `date`symbol).append!(client)

backup(backupDir, dbName, tableName=`trade, parallel=true)
backup(backupDir, dbName, tableName=`client, parallel=true)","result = checkBackup(backupDir, dbName, ""trade"", ""%/2023.07.25"")"
302,雪莲,,clearTablePersistence,"在物联网设备监控场景中，某个流表持续记录传感器上传的温度数据。现需中断该表的磁盘存储功能并擦除所有已存档数据，但需保留内存中的表框架以便后续重启采集。已知输入表sensorStream包含三列（deviceId [SYMBOL], ts [TIMESTAMP], temp [DOUBLE]），请编写满足要求的操作代码并将执行结果存入result。","sensorStream = streamTable(100:0, `deviceId`ts`temp, [SYMBOL, TIMESTAMP, DOUBLE])
enableTableShareAndPersistence(table=sensorStream, tableName=`sensorData, cacheSize=500000)
for (i in 1..50) {
data = table(take(string('D00')+(1..10), 100) as deviceId, now() - 100 + 0..99 as ts, rand(80.0, 100) as temp)
sensorStream.append!(data)
}",result = clearTablePersistence(sensorStream)
303,雪莲,,closeSessions,在物联网设备管理中，需要定期清理所有在2023年9月1日前最后活跃的过期连接会话。给定当前系统会话信息表包含sessionId（长整型）、lastActiveTime（时间戳）等字段，变量名为deviceConnections，请编写代码关闭符合条件的会话并将结果存入变量result。,deviceConnections = getSessionMemoryStat(),"expiredSessions = deviceConnections[deviceConnections.lastActiveTime < 2023.09.01T00:00:00.000].sessionId
result = closeSessions(expiredSessions)"
304,雪莲,,crossStat,"在物联网监测系统中，设备采集了两个环境参数序列:参数C的有效读数存储在数组paramC中为[5.2,空值,3.8,4.5]，参数D的有效读数存储在数组paramD中为[空值,72,68,70]。需要统计有效数据配对的数量、参数C的总和、参数D的总和、参数C的平方和、参数D的平方和，以及两参数的乘积之和，结果存入result变量。","paramC = [5.2, NULL, 3.8, 4.5]
paramD = [NULL, 72, 68, 70]","result = crossStat(paramC, paramD)"
305,雪莲,,cumbetaTopN,"在实时监测系统中有三组数据:设备电压波动值（X）、环境温度变化值（Y）和采集时间戳（S），要求在每个新数据到达时，按时间升序取最近4个有效观测点，计算温度变化对电压波动的敏感度指标。输入数据X=[5.1,3.8,7.0,6.2], Y=[2.3,1.5,3.0,2.8], S=[2023.08.01,2023.08.03,2023.08.02,2023.08.05]，输出结果存入result。","X = [5.1, 3.8, 7.0, 6.2]
Y = [2.3, 1.5, 3.0, 2.8]
S = [2023.08.01, 2023.08.03, 2023.08.02, 2023.08.05]
","result = cumbetaTopN(X, Y, S, 4, ascending=true)
"
306,雪莲,,cumcorr,"假设某物联网设备记录了最近5分钟的温度数据（保存为向量temp）和相应的湿度读数（保存为humidity）。需要实时输出这两个指标从采集开始到每个时间点的连续关联程度指标，最终结果保存为result。已知输入数据格式为:temp = [22.1, 23.5, 24.3, 25.0, 23.8]，humidity = [45, 50, 55, 60, 58]，要求输出格式为向量。","temp = 22.1 23.5 24.3 25.0 23.8
humidity = 45 50 55 60 58","result = cumcorr(temp, humidity)"
307,雪莲,,cumstdpTopN,在实时监控3只股票的交易数据时，如何根据过去所有时段的成交量为排序依据，动态筛选出每个时点成交量最大的前5条记录，并计算这些选中价格的总体标准差？已知输入表结构为:stockID(整型)、tradeVolume(整型)、price(浮点型)，结果变量名为result。,"stockID = rand(1..3, 10)
tradeVolume = rand(100..200, 10)
price = round(rand(50.0..150.0, 10), 2)
t = table(stockID as stockID, tradeVolume as tradeVolume, price as price)
","result = select cumstdpTopN(price, tradeVolume, 5, false) as result from t
"
308,雪莲,,decodeShortGenomeSeq,"在基因测序数据解析中，给定一个整数向量encoded_values包含三个元素:第一个是对长度为4的有效编码，第二个是无效的空值，第三个是超过长度限制的无效编码。请将其转换为对应的DNA字符串序列，结果为result。输入数据格式为[28983, NULL, 123456789]，输出应为[""ATCG"", """", """"]。","encoded_data = [28983, int(), 123456789]",result = decodeShortGenomeSeq(encoded_data)
309,雪莲,,dropFunctionView,"在量化策略开发中，用户创建了名为""alpha""的模块用于存放实验性因子函数（视图名称格式为alpha::因子名），包含momentum、volatility、liquidity三个临时函数。现需批量清理该命名空间下的所有历史实验函数。输入数据为已注册的这三个函数视图（变量名为factors），输出结果为删除操作后该模块下的函数清单，赋值到变量result。","login(""admin"", ""123456"")
def momentum(){return 100}
def volatility(){return 200}
def liquidity(){return 300}
addFunctionView(momentum, ""alpha::momentum"")
addFunctionView(volatility, ""alpha::volatility"")
addFunctionView(liquidity, ""alpha::liquidity"")","dropFunctionView(""alpha"", true)
result = exec name from getFunctionViews() where name like ""alpha::%"""
310,雪莲,,eachLeft,"在金融分析中，一个字典equityRates包含股票代码`X`Y`Z作为键，对应的值为各股票过去三日的波动率数组（例如X的数组为[0.12, 0.15, 0.09]）。风险补偿参数compensation为向量[0.02, 0.03, 0.01]，需为每只股票的每日波动率增加对应的补偿值，生成补偿后的波动率字典result。输入字典equityRates和向量compensation，输出字典result。","equityRates = dict(`X`Y`Z, [[0.12, 0.15, 0.09], [0.08, 0.11, 0.13], [0.10, 0.14, 0.07]])
compensation = [0.02, 0.03, 0.01]",result = equityRates add:L compensation
311,雪莲,,enableTableShareAndCachePurge,"在物联网场景中，实时采集的设备温度数据需要按照时间条件自动清理旧记录，仅保留最近3分钟的观测值。已知输入表sensorData结构为[time: DATETIME, deviceId: SYMBOL, temperature: DOUBLE]，变量名为sensorData，要求设置5分钟触发检查的时间间隔，执行清理动作后返回当前缓存偏移量到result。","sensorData = streamTable(1000:0, `time`deviceId`temperature, [DATETIME, SYMBOL, DOUBLE])
enableTableShareAndCachePurge(table=sensorData, tableName=`sharedSensor, cachePurgeTimeColumn=`time, cachePurgeInterval=5m, cacheRetentionTime=3m)

baseTime = datetime(2024.01.01T10:00:00)
time = temporalAdd(baseTime, 1..1000, ""s"")
deviceId = take(`D001`D002, 1000)
temperature = rand(36.5..39.8, 1000)
insert into sensorData values(time, deviceId, temperature)
","newTime = temporalAdd(baseTime, 600, ""s"")
insert into sensorData values(newTime, `D003, 38.2)
result = getStreamTableCacheOffset(sensorData)
"
312,雪莲,,ffill,在股票交易数据中，某只股票的某些时间点的交易量和价格存在缺失值。现在需要针对每只股票分组，在每组内用最近的有效数值填充缺失，但最多向前填充两次。假设已有表t包含日期(date)、股票代码(sym)、价格(price)、成交量(qty)四列，其中price和qty列存在连续空值。请生成处理后的表，并将结果保存到result。,"
date = 2023.01.01 2023.01.01 2023.01.02 2023.01.03 2023.01.04
sym = `AAPL`MSFT`AAPL`MSFT`MSFT
price = 150.5 300.0 NULL NULL 310.2
qty = 1000 5000 NULL 8000 NULL
t = table(date, sym, price, qty)
","
result = select date, sym, price.ffill(2) as price, qty.ffill(2) as qty from t context by sym
"
313,雪莲,,flip,某物联网系统采集了三个传感器在三个时间点的监测数值，存储为包含时间戳、s1、s2、s3列的表sensorData。现在需要将数据结构转换为以传感器为行、时间点为列的形式，方便按设备进行时序分析，请写出转换代码。,"
timestamp = 2023.06.01T09:00:00 + 0..2
s1 = rand(100.0,3)
s2 = rand(100.0,3)
s3 = rand(100.0,3)
sensorData = table(timestamp, s1, s2, s3)
","
result = flip(sensorData)
"
314,雪莲,,flushOLAPCache,在量化交易场景中，OLAP引擎缓存了某股票日内成交数据到内存（库路径dfs://stockTick，表名tickData，结构含symbol、ts、price、qty字段）。现需在系统维护前立即将所有待落盘数据刷入物理存储，请写出保证数据持久化的操作代码，将执行结果存入result变量。,"
if(existsDatabase(""dfs://stockTick"")) dropDatabase(""dfs://stockTick"")
db = database(""dfs://stockTick"", VALUE, 2023.10.01..2023.10.07)
schema = table(1:0, `symbol`ts`price`qty, [SYMBOL,TIMESTAMP,DOUBLE,INT])
db.createPartitionedTable(schema, ""tickData"", ""ts"").append!(
table(`AAPL`MSFT as symbol, [2023.10.01T09:30:00.000, 2023.10.01T09:30:00.001] as ts, [178.93, 332.45] as price, [1000, 500] as qty)
)
",result = flushOLAPCache()
315,雪莲,,getChunkPath,"某物联网平台在分布式数据库中以日期为分区维度存储传感器数据。现需要获取2023年1月2日至1月4日期间采集数据所在的所有物理分区路径。已知数据库名""sensorDB""，分区列为日期类型字段collect_date，目标表为sensor_records，请写出完整实现代码。输入数据格式:数据库包含[collect_date DATE, deviceID INT, temp FLOAT]结构表，输出要求字符串数组存入result。","if existsDatabase(""dfs://sensorDB""):
dropDatabase(""dfs://sensorDB"")

db = database(""dfs://sensorDB"", RANGE, [2023.01.01, 2023.01.05, 2023.01.10])
n = 8
dates = 2023.01.01..2023.01.08
t = table(rand(dates, n) as collect_date, rand(1000..9999, n) as deviceID, rand(35.0..42.0, n) as temp)
pt = db.createPartitionedTable(t, `sensor_records, `collect_date).append!(t)
","ds = sqlDS(<select * from sensor_records where collect_date between 2023.01.02 and 2023.01.04>)
result = getChunkPath(ds)
"
316,雪莲,,getConsoleJobs,在金融交易系统中，运维人员需要实时监测当前节点上所有正在执行的高优先级数据处理任务的状态信息，包括任务ID、用户归属、接收时间和进度指标。输入数据无需手动构造，直接调用相关接口获取。输出结果存储在变量result中，格式为包含节点名称、任务标识、用户ID、接收时间戳、已完成任务量、总任务量以及任务队列类型等字段的表结构。,,result = getConsoleJobs()
317,雪莲,,getDFSTablesByDatabase,在物联网设备监控场景中，存在一个分布式数据库路径为dfs://iot，其中包含存储传感器时序数据的temperature_records表和设备状态日志的equipment_status表。现需要获取该数据库下所有分布式数据表的完整路径列表，并将结果存入变量result。输入数据为数据库结构描述，输出要求为字符串数组格式。,"login(""admin"", ""123456"")
if existsDatabase(""dfs://iot"") {
dropDatabase(""dfs://iot"")
}
db = database(""dfs://iot"", VALUE, 2023.01.01..2023.01.03)
sensorSchema = table(1:0, `ts`deviceID`temp, [TIMESTAMP, STRING, DOUBLE])
statusSchema = table(1:0, `logTime`equipID`state, [TIMESTAMP, STRING, STRING])
db.createPartitionedTable(sensorSchema, ""temperature_records"", `ts)
db.createPartitionedTable(statusSchema, ""equipment_status"", `logTime)","result = getDFSTablesByDatabase(""dfs://iot"")"
318,雪莲,,getLicenseExpiration,在金融交易系统的日常维护中，运维人员需要快速核查当前 DolphinDB 服务节点的许可证有效期以确保系统合规性。请编写代码获取当前节点的许可证过期时间，并将结果存储在变量中。已知节点环境已初始化，无需准备输入数据，输出结果为日期类型变量，变量名为 result。,,result = getLicenseExpiration()
319,雪莲,,getLoadedPlugins,在系统维护过程中，需要查看当前节点各用户安装的扩展模块及其加载时间，包括模块名称、版本、执行安装的用户和具体时间。已知admin用户加载了MySQL插件，user2用户加载了ODBC插件。请编写代码获取相关记录的表格，并将结果保存到变量result中。结果应包含四列:插件名称(plugin)、版本(version)、操作用户(user)、加载时间(time)。,"login(""admin"", ""123456"")
loadPlugin(""mysql"")
logout()
login(""user2"", ""123456"")
loadPlugin(""odbc"")",result = getLoadedPlugins()
320,雪莲,,getPersistenceMeta,"物联网平台需要验证某个设备状态共享流表是否配置了异步写入和压缩存储。已知输入表devices_stream包含两列[ts,device_id]，类型为[TIMESTAMP,SYMBOL]，变量名为tb_stream。请获取该表的持久化元数据，并检查异步模式和压缩标志位的状态。","
colName = [""ts"",""device_id""]
colType = [""TIMESTAMP"",""SYMBOL""]
tb_stream = streamTable(1000:0, colName, colType)
enableTableShareAndPersistence(
table=tb_stream,
tableName=`deviceStatus,
cacheSize=500000,
preCache=10000,
asynchronous=true,
compression=true
)
login(""admin"",""123456"")
append!(tb_stream, 2023.12.01T09:00:00.000 + 1..1000 as timestamp, take(`CAM001`TEMP003,1000) as symbol)
","
result = getPersistenceMeta(tb_stream)
"
321,雪莲,,ilastNot,"物联网场景中三个传感器监测同一设备不同指标，数据存在部分缺失（NULL值），需确定最后一次所有传感器均有效记录的时间点位置。输入为向量s1=[NULL,25,NULL,34,28]，s2=[NULL,60,65,70,NULL]，s3=[100,NULL,110,120,130]，输出结果为整型变量result。","s1 = [NULL, 25, NULL, 34, 28]
s2 = [NULL, 60, 65, 70, NULL]
s3 = [100, NULL, 110, 120, 130]","result = ilastNot([s1,s2,s3])"
322,雪莲,,imr,"在物联网场景中，多个温度传感器节点持续采集数据。需要实现逐步估算全局平均温度值的算法，当连续两次估算结果差值小于0.01时停止计算。已知各节点存储的温度数据为node1_data=[24.5,25.1,24.8]，node2_data=[25.3,24.7,25.0]，要求最终将计算结果存入变量result，输出格式为标量数值。","
node1 = array(DOUBLE).append!([24.5,25.1,24.8])
node2 = array(DOUBLE).append!([25.3,24.7,25.0])
ds = [sqlDS(<select * from node1>), sqlDS(<select * from node2>)]
","
def mapFunc(data, prevAvg){
return avg(data)
}

def finalFunc(prev, current){
return current / size(ds)
}

def termFunc(prev, current){
return abs(current - prev) < 0.01
}

result = imr(ds, 0.0, mapFunc, +, finalFunc, termFunc)
"
323,雪莲,,invExp,"在物联网设备故障预测中，已知某型号传感器的平均故障间隔时间为120小时。现有四个累积概率值0.2、0.4、0.6、0.8，需要计算出对应的故障时间分位点。请根据给定的平均时间参数和概率数组，计算对应的故障时间数值，结果存入result变量。输入数据格式:标量mean=120.0，浮点型向量X=[0.2,0.4,0.6,0.8]，输出为浮点型向量。","mean = 120.0
X = [0.2, 0.4, 0.6, 0.8]","result = invExp(mean, X)"
324,雪莲,,lassoBasic,"某零售公司分析广告投放费用和线下活动次数对季度销售额的影响。输入数据包括7个季度的观测记录:广告费用(万元)为[5,8,12,15,20,25,30]，促销次数为[2,3,5,6,8,9,10]，对应销售额(百万元)为[15,20,25,30,35,42,50]。需要建立惩罚回归模型，要求输出包含系数估计值、标准误差、t统计量和p值的统计表格，其中L1正则化强度参数设为0.8，进行特征标准化处理并保留截距项。输入数据存储在变量adCost、promoCount、sales中，最终结果存入变量result。","adCost = [5,8,12,15,20,25,30]
promoCount = [2,3,5,6,8,9,10]
sales = [15,20,25,30,35,42,50]","result = lassoBasic(sales, (adCost,promoCount), mode=1, alpha=0.8, normalize=true)"
325,雪莲,,lassoCV,"在分析物联网设备的能耗数据时，我们收集了10个样本的目标变量能耗值（列名energy），两个传感器特征参数（列名sensorA、sensorB）以及样本权重（列名weight）。需要建立一个能自动选择正则化强度的回归模型，要求考虑不同L1惩罚系数[0.2,0.5,1.5]，处理时需包含截距项并应用样本权重，最终将模型结果存储在变量result中。输入数据存储在表t中，包含四列DOUBLE类型数据。","energy = [18.3, 22.1, 15.8, 24.6, 19.7, 21.5, 16.9, 23.8, 17.2, 20.4]
sensorA = [1.45, 2.33, 0.98, 2.76, 1.89, 2.05, 1.12, 2.64, 1.03, 1.77]
sensorB = [0.67, 1.02, 0.53, 1.45, 0.82, 0.95, 0.61, 1.38, 0.71, 0.89]
weight = [1.2, 0.8, 1.5, 0.7, 1.1, 0.9, 1.3, 0.6, 1.4, 0.5]
t = table(energy, sensorA, sensorB, weight)
","result = lassoCV(t, ""energy"", [""sensorA"",""sensorB""], alpha=[0.2,0.5,1.5], intercept=true, swColName=""weight"")
"
326,雪莲,,linprog,在物联网设备的能源管理中，设备甲每小时消耗3单位能源，设备乙每小时消耗4单位能源。两设备总运行时间需不低于10小时，甲最多运行5小时，乙最多8小时，运行时间不可为负数。求最小总能耗。输入数据格式:f是长度为2的向量，A是1x2矩阵，b是标量，ub和lb是长度为2的向量。输出结果存储在变量result中。,"f = [3, 4]
A = matrix([-1, -1])
b = [-10]
ub = [5, 8]
lb = [0, 0]","re = linprog(f, A, b, , , lb, ub)
result = re[0]"
327,雪莲,,lj,"给定两张股票数据表，左表包含股票代码、行业和价格，右表包含股票代码、日期和收益率。需要将所有股票信息与符合条件的收益率记录合并，保留左表的所有股票，过滤掉左表中行业为'金融'的股票，且右表收益率需大于3%。最终结果包含股票代码、行业、价格、收益率，变量名为result。左表变量名为stock_info，右表为stock_returns，结构如下:
stock_info: id [SYMBOL], industry [STRING], price [DOUBLE]
stock_returns: symbol [SYMBOL], date [DATE], return_rate [DOUBLE]","stock_info = table(`A`B`C`D as id, ['科技','金融','消费','能源'] as industry, [25.3, 18.7, 42.1, 36.8] as price)
stock_returns = table(`A`B`D`E as symbol, 2023.01.01 2023.01.01 2023.01.02 2023.01.02 as date, [0.035, 0.028, 0.041, 0.025] as return_rate)
","result = lj(stock_info, stock_returns, `id, `symbol, stock_info.industry != ""金融"", stock_returns.return_rate > 0.03)
"
328,雪莲,,lpad,"在物联网设备管理中，需要将设备ID统一格式化为8位长度，不足部分在左侧用字符'0'填充。现有设备ID列表device_ids为[""A123"", ""B4567"", ""C89""]，请生成处理后的结果并赋值给变量result。","device_ids = [""A123"", ""B4567"", ""C89""]
","result = lpad(device_ids, 8, '0')
"
329,雪莲,,lshift,在物联网设备状态解析中，需要将设备原始状态值转换为更高精度的数据。已知设备记录表device_data包含设备编号device_id(INT)和原始值raw_value(INT)两列，要求将原始值按二进制左移3位生成校准数据。请输出包含设备编号和校准后数值的结果表，结果变量名为result。,"device_data = table(1001..1005 as device_id, 12 25 7 33 19 as raw_value)","result = select device_id, raw_value << 3 as calibrated_value from device_data"
330,雪莲,,ltrim,"在处理物联网设备上传的传感器编号时，发现部分编号左侧带有不规则空格。给定字符串向量deviceIDs包含[""   DHT22"",""   SHT35"","" BMP280""]，要求清除每个编号左侧的所有空白字符，并将处理后的结果存入变量result。","deviceIDs = [""   DHT22"",""   SHT35"","" BMP280""]
","result = ltrim(deviceIDs)
"
331,雪莲,,mkdir,在物联网平台中，设备按小时归档传感器数据，需在现有路径 '/iot/2023' 下为10月新增一个子目录 '1004' 存储当天的原始文件。请编写实现该操作的代码，要求将执行结果赋值给变量 result。已知父目录已存在，输出结果需为新目录的实际创建状态。,"# 父目录已存在，无需额外准备数据
","result = mkdir(""/iot/2023/1004"")
"
332,雪莲,,msum2,在物联网设备监控场景中，给定一个传感器数据表sensor_data，包含timestamp（时间戳，按秒递增）、device_id（设备编号，包含D1和D2两种）、value（浮点数值，存在空值）。请对每个设备按时间排序，计算其读数在最近3个数据点中的平方和，当窗口内至少有一个有效值时立即输出结果。结果存储在变量result中，包含原始时间戳、设备编号和计算结果。,"sensor_data = table(2023.10.01T09:00:00 + 1..6 as timestamp, take(`D1`D2, 6) as device_id, [2.1, NULL, 3.3, 4.8, NULL, 5.0] as value)","result = select timestamp, device_id, msum2(value, 3, 1) as result from sensor_data context by device_id csort timestamp"
333,雪莲,,multinomialNB,在物联网场景中，某设备传感器采集了温度、振动频率、电流三个特征数据，每个样本对应正常(0)、高温(1)、故障(2)三种状态标签。现有训练数据集deviceData表包含100条样本（列名为temp、vibration、current），对应的状态向量存储在deviceStatus变量。如何使用基于多项式概率分布的分类算法训练状态识别模型，设置平滑参数为0.5，并将训练结果存入result？,"deviceData = table(
rand(normal(50,5),100) as temp, 
rand(20.0..80.0,100) as vibration,
rand(1.5..3.5,100) as current
)
deviceStatus = take(0 1 2,100).shuffle()
","result = multinomialNB(deviceStatus, deviceData, 0.5)
"
334,雪莲,,nextState,"在物联网设备监控中，某传感器采集了两个指标的数据并存储在矩阵deviceMetrics中。第一列为温度序列[25.0,25.0,25.0,24.8,NULL,24.7]，第二列为湿度状态[NULL,60,NULL,60,60,55]。请找出每个数据点之后的首个状态变化值，若当前为空则取最近的有效状态，结果要求存入变量result。","deviceMetrics = matrix(
[25.0,25.0,25.0,24.8,NULL,24.7],
[NULL,60,NULL,60,60,55]
)",result = nextState(deviceMetrics)
335,雪莲,,objectChecksum,"某物联网设备分两次上传了两组温度监测数据，每组包含5个浮点数值。第一组存储在变量tempPart1中为[20.5, 21.3, 22.0, 19.8, 20.2]，第二组存储在tempPart2中为[23.1, 24.5, 20.9, 21.7, 22.3]。请验证这两个数据片段的整体完整性特征值，并将最终计算结果存入result。","tempPart1 = 20.5 21.3 22.0 19.8 20.2
tempPart2 = 23.1 24.5 20.9 21.7 22.3","cs1 = objectChecksum(tempPart1)
result = objectChecksum(tempPart2, cs1)"
336,雪莲,,oneHot,在分析股票交易记录时，存在一个包含股票代码（字符串类型，变量名stock，取值为'AAPL'、'MSFT'、'GOOG'）、交易方向（字符串类型，变量名action，取值为'BUY'、'SELL'）、成交量（整型，变量名volume）的10行内存表。需要将股票代码和交易方向两个特征转换为二进制标识列，每个特征的不同取值生成对应的0/1标记新列，最终生成的结果表需保留原始的非编码列，并将转换结果存储在result变量中。,"t = table(take(`AAPL`MSFT`GOOG, 10) as stock, take(`BUY`SELL, 10) as action, rand(100,10) as volume)
","result = oneHot(t, `stock`action)
"
337,雪莲,,pcall,在物联网场景中，某设备采集了15万个温度传感器的读数，数据存储在名为sensor_data的表中，包含两列:id（整型）和value（浮点型）。需要快速计算所有传感器读数的平方根并将结果存入变量result，要求使用并行处理方法并确保输出顺序与输入一致。,"
sensor_data = table(1..150000 as id, rand(100.0, 150000) as value)
","
result = pcall(sqrt, sensor_data.value)
"
